Category,Client Name,Trade Name 1,Trade Name 2,Trade Name 3,Trade Name 4
BUILDING - BUILDING MAINTENANCE,Freeport Appliance and Maintenance Services Limited,,,,
BUILDING - BUILDING MAINTENANCE,McIntosh Enterprises Ltd.,,,,
BUILDING - BUILDING MAINTENANCE,F.E.S. Construction Company Limited,,,,
BUILDING - BUILDING MAINTENANCE,Summit Property Maintenance (GB) LTD.,,,,
BUILDING - BUILDING MAINTENANCE,"Russell, Anthony and Gibson, Edrus",New Beginnings Painting & Design Studio,,,
BUILDING - BUILDING MAINTENANCE,"Vilbrun, Claude",Victory Construction Services,,,
BUILDING - BUILDING MAINTENANCE,"St. John-Mosse, Martha C.",Newleaf Interior,,,
BUILDING - BUILDING MAINTENANCE,S & M General Maintenance Services and Repairs Limited,,,,
BUILDING - BUILDING MAINTENANCE,"Sweeting, Forest W. & Sweeting, Dawn E.",Master Maintenance,,,
BUILDING - BUILDING MAINTENANCE,"Lightbourne, Joseph",E.P.A. REPAIRS & INSTALLATION,,,
BUILDING - BUILDING MAINTENANCE,Roofing Experts Ltd.,,,,
BUILDING - BUILDING MAINTENANCE,"Laing, Rudolph S.",,,,
BUILDING - BUILDING MAINTENANCE,Arawak Service Industries Company Limited,,,,
BUILDING - BUILDING MAINTENANCE,Long's Custom Carpentry Limited,,,,
BUILDING - BUILDING MAINTENANCE,"Strachan, David A.",Integrity Maintenance & Janitorial Services,,,
BUILDING - BUILDING MAINTENANCE,"Fowler, Beulahmae and Clarke, Dave",Dave & Beulahmae Complete Home Makeover,,,
BUILDING - BUILDING MAINTENANCE,Coxco Investments Limited,San Maintenance,,,
BUILDING - BUILDING MAINTENANCE,"Kemp, Joy, Kemp, Steven and Kemp, Andrew",L K Maintenance,,,
BUILDING - BUILDING MAINTENANCE,G.B. Insulators Ltd.,,,,
BUILDING - BUILDING MAINTENANCE,"Smith, Ashley James; Hall, Patrice and Smith, Elvy",,,,
BUILDING - BUILDING MAINTENANCE,"Miller, Wilson",,,,
BUILDING - BUILDING MAINTENANCE,"Pelecanos, Dino",,,,
BUILDING - BUILDING MAINTENANCE,JJCDL Ltd.,,,,
BUILDING - BUILDING MAINTENANCE,Industrotec Bahamas Limited,,,,
BUILDING - BUILDING MAINTENANCE,"Julmisse, Harold",H & J Renovation Services,,,
BUILDING - BUILDING MAINTENANCE,MK Bahamas Limited,,,,
BUILDING - BUILDING MAINTENANCE,Coral and Sand Development Limited,,,,
BUILDING - CARPENTRY SERVICES,"Russell, Fred Livingston",Fred's Carpentry,,,
BUILDING - CARPENTRY SERVICES,"Dames, Marvin Alexander & Dames, Dontae Nathaniel Alexander 
              
",Dames Carpentry,,,
BUILDING - CARPENTRY SERVICES,"Gibson, Christopher",,,,
BUILDING - CARPENTRY SERVICES,"Pratt, Andrew A. & Pratt Sheena T.",Wood Dat Is,,,
BUILDING - CONCRETE FINISHING,"Gibson, Christopher",,,,
BUILDING - CONCRETE FINISHING,"Freeport Construction Company, Limited",,,,
BUILDING - CONCRETE FINISHING,Smith Construction Company Limited,,,,
BUILDING - CONCRETE FINISHING,"Laing, Ronnie & Laing Marilyn",,,,
BUILDING - CONCRETE FINISHING,Agregar Services Limited,M & C Concrete Pumping Services,,,
BUILDING - CONCRETE FINISHING,"Strachan, David A.",,,,
BUILDING - CONSTRUCTION STORAGE TANKS,CBI Bahamas Limited,,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),Grupotec Bahamas Ltd.,,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),China Harbour Engineering Company (Bahamas) Ltd.,,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),"Kinetic Systems, Inc.",,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),"Performance Contracting, Inc.",,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),American Fire Bahamas Ltd.,,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),Jan De Nul Central America Ltd.,,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),Wartsila Caribbean Inc.,,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),Dyno Nobel Inc.,,,,
BUILDING - CONTRACTOR SPECIALTY CONTRACTOR (Non-Bah),Baker Petrolite Corporation,,,,
BUILDING - ELECTRICAL CONTRACTOR,Darius Williams & Associates Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Hall's Electrical Supply Co. Ltd.,,,,
BUILDING - ELECTRICAL CONTRACTOR,Coral KFL Contractors Ltd.,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Mercie Ann Investments, Ltd.",,,,
BUILDING - ELECTRICAL CONTRACTOR,"Freeport Electrical Engineering Co., Ltd.",,,,
BUILDING - ELECTRICAL CONTRACTOR,Electrical Installation & Maintenance Co. Ltd.,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Rolle, Dominick",Econo Electric,,,
BUILDING - ELECTRICAL CONTRACTOR,"Bellamour, Josue",Electrical Maintenance Services,,,
BUILDING - ELECTRICAL CONTRACTOR,"Bain, Rodney Jr.",Solace Electrical Contractors,,,
BUILDING - ELECTRICAL CONTRACTOR,"Knowles, Albert R.",SUNSHINE ELECTRICAL,,,
BUILDING - ELECTRICAL CONTRACTOR,"Neymour, Michael E.",Neymour Electrical Contractors,,,
BUILDING - ELECTRICAL CONTRACTOR,"Feaster, Clyde",Skyline Electrical Services,,,
BUILDING - ELECTRICAL CONTRACTOR,Mechanical Engineering Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Smith, Leslie & Strachan, Terrance",S & S Electrical Contractors,,,
BUILDING - ELECTRICAL CONTRACTOR,"Laing, Kenneth Benjamin","Brothers Electrical, The",,,
BUILDING - ELECTRICAL CONTRACTOR,"McIntosh, Stephenson",ELECTRICAL TECHNICIANS,,,
BUILDING - ELECTRICAL CONTRACTOR,"Hudson, Lewis",HUD ELECTRIC,,,
BUILDING - ELECTRICAL CONTRACTOR,"Pratt, Alonzo & Hepburn, Paul",ADVANCED ELECTRICAL SERVICES,,,
BUILDING - ELECTRICAL CONTRACTOR,Advance Controls and Equipment Company (Bahamas) Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Bowe, Donald",,,,
BUILDING - ELECTRICAL CONTRACTOR,Allied Electrical Supplies Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Miller, Burton",,,,
BUILDING - ELECTRICAL CONTRACTOR,Ultra Kilowatts Electrical Co. Ltd.,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Rolle, Samuel",,,,
BUILDING - ELECTRICAL CONTRACTOR,"McIntosh, Robert",,,,
BUILDING - ELECTRICAL CONTRACTOR,Motherwell Bridge Bhicam Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,East Atlantic Holdings Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Electrical Design and Services Ltd.,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Russell III, Eric Anthony",City Wide Electric,,,
BUILDING - ELECTRICAL CONTRACTOR,Electrical Enterprises Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Grand Bahama Engineering Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Glenerik International Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Island Electrical Construction Company Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Polar Electric (1991) Company Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Big Margin Electric Co. Ltd.,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Knowles, Roger G.",Community Electrical & Technical Supplies,,,
BUILDING - ELECTRICAL CONTRACTOR,"Symonette, Christopher",,,,
BUILDING - ELECTRICAL CONTRACTOR,Innovative Waves Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,Rising Sun Limited,,,,
BUILDING - ELECTRICAL CONTRACTOR,"Forbes, Shawn Stafford & Forbes, Vonnel Devon",SVF Electrical Maintenance & Services,,,
BUILDING - ELECTRICAL CONTRACTOR,"Duncombe, Scheffan",Current Plus,,,
BUILDING - ELECTRICAL CONTRACTOR,"Adderley Jr., Harold Eugene",Affordable Electrical Services,,,
BUILDING - ELECTRICAL CONTRACTOR,"Martin, Bob",Best Electric & Maintenance,,,
BUILDING - ELECTRICAL CONTRACTOR - UTILITY,"Capron, Prince A.",Capron Repair & Installation Services,,,
BUILDING - ERECTION OF STEEL BUILDINGS,Regal Homes Ltd.,,,,
BUILDING - ERECTION OF STEEL BUILDINGS,Kelly's Freeport Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Island Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Glenerik International Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Seaport Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Maliboo Properties Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Ocean Construction Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,"Grand Bahama Construction Company, Limited",,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Bahamas Developers Limited,QUEENS COVE,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Flawless Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Brickhouse Construction Co. Ltd.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Project By Project 2014 Company Limited,Project By Project FM,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Reef Construction Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Quality Services Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,All Bahamas Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Sesache Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Motherwell Bridge Bhicam Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,City Services Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,B & H Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Craftsman Construction and Investment Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,"Miller, Burton",MILLER ENGINEERING COMPANY,,,
BUILDING - GENERAL BUILDING CONTRACTOR,"Hepburn, Edward",,,,
BUILDING - GENERAL BUILDING CONTRACTOR,T & M General Construction Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Watson Construction (Freeport) Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Blue Ribbon Construction Co. Ltd.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,S & R Home Builders Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Noula Investments Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Entech Building Systems Ltd.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Patrick McDonald Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Mechanical Engineering Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Virmar Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,"Freeport Construction Company, Limited",,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Qualfast Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Stone Products Bahamas Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Waugh Construction (Bahamas) Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,F.E.S. Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Ashfield Investments Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Arawak Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Ivan Alexander Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,San Jose Construction (Bahamas) Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Phoenix Engineering Group and Associates Limited,DSB Group,,,
BUILDING - GENERAL BUILDING CONTRACTOR,United Orca Construction Co. Ltd.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Yellow Fin General Contractors Ltd.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Spartan Builders Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,"Farrington, Anthony and Rolle, Paul Leonard",SGF Engineering & Construction,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Newport Builders Inc.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,"Darville, Michael",PLATOS CONSTRUCTIONS,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Treasure Coast Development & Construction Company Limited,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,BHM (GB) Ltd.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Northern Builders Co. Ltd.,,,,
BUILDING - GENERAL BUILDING CONTRACTOR,Midas Touch Contractors Limited,,,,
BUILDING - HOME BUILDER,"Stanislaus, Trevor",TMC Builders,,,
BUILDING - HOME BUILDER,Shabazz Construction Company Ltd.,,,,
BUILDING - HOME BUILDER,Grand Bahama Painting and Decorating Limited,,,,
BUILDING - HOME BUILDER,S. R. A. Construction Company Limited,,,,
BUILDING - HOME BUILDER,H. R. Andrews Construction Company Limited,,,,
BUILDING - HOME BUILDER,Tri-Eastern Development Company Limited,,,,
BUILDING - HOME BUILDER,Minister Responsible for Housing,,,,
BUILDING - HOME BUILDER,"Harvey, Cyril Jr.",UTMOST CONSTRUCTION,,,
BUILDING - HOME BUILDER,Missako Investments Limited,,,,
BUILDING - HOME BUILDER,Integrity Builders Ltd.,,,,
BUILDING - HOME BUILDER,"Russell, Robert Stanfield",R Construction,,,
BUILDING - HOME BUILDER,Polar Electric (1991) Company Limited,Polar Construction,,,
BUILDING - HOME BUILDER,"Simms, Craig",Premiere Homes,,,
BUILDING - HOME BUILDER,Keystone Development Group Limited,,,,
BUILDING - HOME BUILDER,"Thompson, Quentin A.",Skyfran Builders,,,
BUILDING - HOME BUILDER,"Johnson, Trevor W.",Good Holdings Construction Company,,,
BUILDING - HOME BUILDER,Fox Construction Co. Ltd.,,,,
BUILDING - HOME BUILDER,"Saunders, Peter",Pete's Construction,,,
BUILDING - HOME BUILDER,Modern Builders Company Limited,,,,
BUILDING - HOME BUILDER,Golden Triangle Construction Company Limited,,,,
BUILDING - HOME BUILDER,Triple L Construction Ltd.,,,,
BUILDING - HOME BUILDER,Thomas and Norma Construction Company Limited,,,,
BUILDING - HOME BUILDER,Knowles Construction Company Limited,,,,
BUILDING - HOME BUILDER,Right Way Construction Company Limited,,,,
BUILDING - HOME BUILDER,Quality Construction Company Limited,,,,
BUILDING - HOME BUILDER,Superior Builders & Contractors Limited,,,,
BUILDING - HOME BUILDER,Grand Bahama Quality Builders Limited,,,,
BUILDING - HOME BUILDER,Masonry Unlimited and Tool Supply Company Limited,,,,
BUILDING - HOME BUILDER,"Roberts, Zendall O'Neal Jr.",RobCo Construction,,,
BUILDING - HOME BUILDER,"Munnings, George Allan",Logos Construction Company,,,
BUILDING - HOME BUILDER,Lowenmill Construction Company Limited,,,,
BUILDING - HOME BUILDER,"Laing, Steve",STS Construction,,,
BUILDING - HOME BUILDER,KDM Construction Company Limited,,,,
BUILDING - HOME BUILDER,"Nixon, Julian Antonio",J.A.N. BUILDERS,,,
BUILDING - HOME BUILDER,Double A Constrcution Company Limited,,,,
BUILDING - HOME BUILDER,"Gardiner, Andrey",ANDREY GARDINER CONSTRUCTION,,,
BUILDING - HOME BUILDER,"Bain, Denis",DJ's Construction,,,
BUILDING - HOME BUILDER,Deliverance Construction Company Limited,,,,
BUILDING - INFRASTRUCTURE DEVELOPMENT,Island Site Development Ltd.,,,,
BUILDING - INFRASTRUCTURE DEVELOPMENT,"Rahming, Floyd",,,,
BUILDING - INFRASTRUCTURE DEVELOPMENT,SMD Technical Solutions (Bahamas) Ltd.,,,,
BUILDING - INFRASTRUCTURE DEVELOPMENT,"Ferguson, Renio A.",Polaris Surveying,,,
BUILDING - INFRASTRUCTURE DEVELOPMENT,Tropical Industries Limited,,,,
BUILDING - INFRASTRUCTURE DEVELOPMENT,"Poitier, Devin Deon",Ace Fiber Network,,,
BUILDING - INFRASTRUCTURE DEVELOPMENT,Grand Bahama Engineering Procurement and Construction Company Ltd.,,,,
BUILDING - MASONRY,"Pelecanos, Dino",,,,
BUILDING - MASONRY,"Strachan, David A.",,,,
BUILDING - MASONRY,"Martin, Dangle and Neely, Brett",,,,
BUILDING - MASONRY,"Miller, Frank and Abdulle",,,,
BUILDING - MASONRY,"Pratt, Andrew A. & Pratt Sheena T.",,,,
BUILDING - PAINTING CONTRACTOR,"Seide Sr., Dudley & Seide, Katie J.",,,,
BUILDING - PAINTING CONTRACTOR,"Dean, Steve M.",,,,
BUILDING - PAINTING CONTRACTOR,"Gibson, Christopher",,,,
BUILDING - PAINTING CONTRACTOR,"Russell, Bradley H.",,,,
BUILDING - PAINTING CONTRACTOR,"Barr, Wayne Garnett",Wayne's Painting Company,,,
BUILDING - PAINTING CONTRACTOR,Freeport Decorators Limited,,,,
BUILDING - PAINTING CONTRACTOR,"Miller, Frank and Abdulle",,,,
BUILDING - PAINTING CONTRACTOR,"Laing, Rudolph S.",,,,
BUILDING - PAINTING CONTRACTOR,T & M General Construction Limited,,,,
BUILDING - PAINTING CONTRACTOR,"Kemp, Blanton",,,,
BUILDING - PAINTING CONTRACTOR,G.B. Commercial Painting Limited,,,,
BUILDING - PAINTING CONTRACTOR,"Russell, Anthony and Gibson, Edrus",,,,
BUILDING - PAINTING CONTRACTOR,"Martin, Dangle and Neely, Brett",,,,
BUILDING - PAINTING CONTRACTOR,"Strachan, David A.",,,,
BUILDING - PAINTING CONTRACTOR,Painters Touch (Bahamas) Ltd.,Painters Touch,,,
BUILDING - PAINTING CONTRACTOR,Sima Sprinkler Landscaping & Maintenance Ltd.,,,,
BUILDING - PAINTING CONTRACTOR,"Campbell, Jonathan, & Campbell, Dedra",,,,
BUILDING - PAINTING CONTRACTOR,"Pelecanos, Dino",,,,
BUILDING - PAINTING CONTRACTOR,"Miller, Wilson",,,,
BUILDING - PAINTING CONTRACTOR,DMK Holdings Ltd.,,,,
BUILDING - PAINTING CONTRACTOR,"Godet, Coralee Edna, Rochelle and Rashad",,,,
BUILDING - PAINTING CONTRACTOR,XXist Century Services Ltd.,,,,
BUILDING - PAINTING CONTRACTOR,G.B. Insulators Ltd.,,,,
BUILDING - PLUMBING CONTRACTOR,Pinder's Plumbing (1982) Limited,,,,
BUILDING - PLUMBING CONTRACTOR,"Hield, Rodney Ricardo",Number One (#1) Plumber,,,
BUILDING - PLUMBING CONTRACTOR,"Jolly, Calvin Richardo",Get It Right Plumbing,,,
BUILDING - PLUMBING CONTRACTOR,"Newman, Quinston Mallan",New Lines Plumbing Services,,,
BUILDING - PLUMBING CONTRACTOR,"Bain, Jeffrey L.",Night & Day Plumbing Service,,,
BUILDING - PLUMBING CONTRACTOR,"Cooper, Edwin",E.C. Plumbing,,,
BUILDING - PLUMBING CONTRACTOR,"Miller, Burton",,,,
BUILDING - PLUMBING CONTRACTOR,"Rolle, Norlon",Northern Plumbing Service,,,
BUILDING - PLUMBING CONTRACTOR,Bullard's Plumbing Supplies Limited,,,,
BUILDING - PLUMBING CONTRACTOR,Glenerik International Limited,,,,
BUILDING - PLUMBING CONTRACTOR - JOURNEYMAN,"Saunders Plumbing and Mechanical Contractors Co., Ltd.",,,,
BUILDING - PLUMBING CONTRACTOR - JOURNEYMAN,Freeport Plumbing Supplies and Services Limited,,,,
BUILDING - PLUMBING CONTRACTOR - JOURNEYMAN,"Bethel, Craig",,,,
BUILDING - PLUMBING CONTRACTOR - JOURNEYMAN,"Burrows, Anthony and Dean, Pedro",A & A PLUMBING SERVICES AND SUPPLIES,,,
BUILDING - PLUMBING CONTRACTOR - JOURNEYMAN,"Reckley, Marvin",Reckley's Plumbing Services,,,
BUILDING - PLUMBING CONTRACTOR - MASTER,Plumbing Pros Company Limited,,,,
BUILDING - PLUMBING CONTRACTOR - MASTER,"Knowles, Jamal A.",Anthony R. Knowles Plumbing,,,
BUILDING - PLUMBING CONTRACTOR - MASTER,"Bethel, Craig",Superior Plumbing,,,
BUILDING - PLUMBING CONTRACTOR - MASTER,"Russell, Robert and Hield, Collins",H & R Plumbing,,,
BUILDING - PLUMBING CONTRACTOR - MASTER,Quality Plumbing Limited,,,,
BUILDING - PLUMBING CONTRACTOR - MASTER,"Hield, Collins",Hield Master Plumber,,,
BUILDING - RENEWABLE/ALTERNATIVE ENERGY CONTRACTOR,Enlighten Energy Limited,,,,
BUILDING - RENEWABLE/ALTERNATIVE ENERGY CONTRACTOR,Solar Up Bahamas Ltd.,,,,
BUILDING - RENEWABLE/ALTERNATIVE ENERGY CONTRACTOR,Inti Corporation Ltd.,,,,
BUILDING - RENEWABLE/ALTERNATIVE ENERGY CONTRACTOR,Lucayas Solar Power Ltd.,,,,
BUILDING - RENEWABLE/ALTERNATIVE ENERGY CONTRACTOR,Caribbean Renewal Energy Co. Ltd.,,,,
BUILDING - RENEWABLE/ALTERNATIVE ENERGY CONTRACTOR,Northern Bahamas Utilities Holding Company Ltd.,,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Handfield, Sherman",Legacy Builders,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Thompson, Farentino",Silverline Builders,,,
BUILDING - RESIDENTIAL CONTRACTOR,"McIntosh, Garth, Sr.",Alternative Energy Builders,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Stuart, Godfrey and Stuart, Natasha R.",GNT Construction Company,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Brown, Keith P. and Deborah E.",Designer's Choice Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Hield, Collins",HIELD CONSTRUCTION,,,
BUILDING - RESIDENTIAL CONTRACTOR,Regal Homes Ltd.,,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Higgs, Rayon",Colonial Contractors,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Russell, A. Kenneth",A.L.S. Construction & Building Services Company,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Hylton, David M. and Sandy A.",BRICK BY BRICK CONSTRUCTION,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Gray, Anton",Benchmark Builders,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Fowler, Kinsha D. and Copeland, Wayne",CLC Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,Place Builders Company Limited,,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Dorsett, Ricardo J.",Rise & Shine Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Bowleg, Bartholomew",KUDUCK BUILDERS,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Edwards, Craig Douglas & Edwards, Melissa Shanteka",CJ's Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Payoute, Kerry",WEST CONSTRUCTION,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Johnson, Samuel Alexander",JOHNSON'S PRECISION BUILDERS,,,
BUILDING - RESIDENTIAL CONTRACTOR,Allstate Construction & Maintenance Co. Ltd.,,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Rolle, Elvis",E.L.R. Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Basden, Kevin and Basden, Kenneth",Oakwood Construction Company,,,
BUILDING - RESIDENTIAL CONTRACTOR,Third Dimension Construction Company Limited,,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Wilson, Jayward Joshua",Wilco Builders,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Nesbitt, Rico",RPJ Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Rolle, Terrance Ezra",Peak Builders,,,
BUILDING - RESIDENTIAL CONTRACTOR,H & C Industries Limited,,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Harris, Christopher",PYRAMID CONSTRUCTION COMPANY,,,
BUILDING - RESIDENTIAL CONTRACTOR,Pineyard Steel Fabricating & Construction Co. Ltd.,,,,
BUILDING - RESIDENTIAL CONTRACTOR,Coral KFL Contractors Ltd.,,,,
BUILDING - RESIDENTIAL CONTRACTOR,Rubees Investment Company Limited,Rule Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Wilson, Godfey Gordon",Du-Kor Construction Co.,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Walkins, Harrison and Walkins, Carolyn",Treasure Builders,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Johnson, Sherven Livingston",Johnson Construction Homes Development,,,
BUILDING - RESIDENTIAL CONTRACTOR,"Cooper, Levar D., & Stuart, Lamont T.",Titan Construction,,,
BUILDING - RESIDENTIAL CONTRACTOR,Dream Built Ltd.,,,,
BUILDING - RESIDENTIAL CONTRACTOR,M & L Maintenance & Construction Ltd.,,,,
BUILDING - ROOFING CONTRACTOR,"Lewis, Devlin Alpacino",Lewis Stone Coated Metal Roofing,,,
BUILDING - ROOFING CONTRACTOR,"Roberts, Myron Jamal",Superb Roofing and Building Construction,,,
BUILDING - ROOFING CONTRACTOR,"Kelly, Inderia",Hugens' Global Roofing Systems,,,
BUILDING - ROOFING CONTRACTOR,"Cleare, Albert",A C Carpentry Roofing & Masonry,,,
BUILDING - ROOFING CONTRACTOR,"Similis, Emanis",Simi's Roofing Contractors,,,
BUILDING - ROOFING CONTRACTOR,Advanced Roofing Of The Bahamas Ltd.,,,,
BUILDING - ROOFING CONTRACTOR,"Grand Bahama Construction Company, Limited",,,,
BUILDING - ROOFING CONTRACTOR,Bahamas Roofing and Sheet Metal Limited,,,,
BUILDING - ROOFING CONTRACTOR,"Laing, Ronnie & Laing Marilyn",LEROMA'S ROOFING,,,
BUILDING - ROOFING CONTRACTOR,Roofing Experts Ltd.,,,,
BUILDING - ROOFING CONTRACTOR,Seashore Development & Distribution Company Ltd.,,,,
BUILDING - ROOFING CONTRACTOR,"Freeport Construction Company, Limited",,,,
BUILDING - ROOFING CONTRACTOR,"Williams, Mervin",Mervin's Roofing,,,
BUILDING - ROOFING CONTRACTOR,Coastal Roofing Limited,,,,
BUILDING - SCAFFOLDING CONTRACTOR,G.B. Insulators Ltd.,,,,
BUILDING - SCAFFOLDING CONTRACTOR,Applied Industrial Maintenance Services Limited,,,,
BUILDING - SUB-CONTRACTOR - EXCAVATING & GRADING ENGINEERING,Off The Wall Dock Builders Limited,,,,
BUILDING - SUB-CONTRACTOR - FLOORING/TILE,"Kemp, Joy, Kemp, Steven and Kemp, Andrew",,,,
BUILDING - SUB-CONTRACTOR - FLOORING/TILE,R.A.W. Inc. Company Ltd.,,,,
BUILDING - SUB-CONTRACTOR - SHEET METAL & DOWNSPOUT CONTRACTOR,"Hepburn, Prince",Bluffstone Guttering & Facia Board,,,
BUILDING - SUB-CONTRACTOR - SMALL DOCK ENGINEERING,Off The Wall Dock Builders Limited,,,,
BUILDING - SUB-CONTRACTOR/DOOR,Nats Enterprise Ltd.,Clearview Glass & Window Repair,,,
BUILDING - SUB-CONTRACTOR/DOOR,Charlie & Charlie Windows and Doors Ltd.,,,,
BUILDING - SUB-CONTRACTOR/GLASS,Charlie & Charlie Windows and Doors Ltd.,Charles & Charles,,,
BUILDING - SUB-CONTRACTOR/GLASS,Nats Enterprise Ltd.,,,,
BUILDING - SUB-CONTRACTOR/GLASS,"Cooper, Lindberg",CWR Glass Boys,,,
BUILDING - SUB-CONTRACTOR/METAL AWNING/STORM SHUTTER,Island Spray Professionals Ltd.,,,,
BUILDING MANAGEMENT & SUPERVISION,Northern Bahamas Utilities Holding Company Ltd.,,,,
BUILDING MANAGEMENT & SUPERVISION,DMV Project Management Group Ltd.,,,,
